id_user,nickname,jp,cn
1,ノーラ,0,0
3,西本,1,0
4,ワレーリア,0,0
5,ナッダナイ,0,0
7,望,1,0
8,ピラヤ,0,0
10,あやか,1,0
11,瀬古,1,0
12,アリタット,0,0
13,ナパッソーン,0,0
14,エリザヴェータ,0,0
15,チン,0,1
16,ゲオアップソン,0,0
17,永康,1,1
18,パト,0,1
19,永田,1,1
20,ジェウ,0,1
21,欣陽,0,1
22,ヒカ,0,1
23,オウキ,0,1
25,リンイン,0,1
27,シンファ,0,1
28,ムチン,0,1
29,侑虔,0,1
30,シンウ,0,1
31,アンキ,0,1
32,ジング,0,1
33,ミッシェール,0,1
34,新茹,0,1
35,リジ,0,1
36,シンウ,0,1
37,涵湘,0,1
38,ガウン,0,0
39,J.ヘイン,0,0
40,ユンサン,0,1
41,ヨンジェ,0,1
42,シノン,0,1
43,フィミョン,0,0
45,萌々香,1,0
46,ナタワディー,0,0
47,ショウキ,0,1
48,奕丞,0,1
49,ゾー,0,1
50,小野,1,1
51,益嘉,0,1
52,沁頤,0,1
53,岡田,1,0
54,野間口,1,0
55,スーチャ,0,1
56,髙木,1,0
57,K.ヘイン,0,0
58,ジョンヒ,0,0
59,ヴィクトリア,0,0
60,シンゼン,0,1
61,キンケイ,0,1
62,チェンユ,0,1
64,キエツ,0,1
65,しおり,1,0
